YEAR,TEAM,SEED,ROUND
2016,Villanova,2,1
2016,Virginia,1,8
2016,Weber St.,15,64
2016,West Virginia,3,64
2016,Wichita St.,11,32
2016,Wisconsin,7,16
2016,Xavier,2,32
2016,Yale,12,32
2015,Albany,14,64
2015,Arizona,2,8
2015,Arkansas,5,32
2015,Baylor,3,64
2015,Belmont,15,64
2015,Boise St.,11,68
2015,Buffalo,12,64
2015,Butler,6,32
2015,BYU,11,68
2015,Cincinnati,8,32
2015,Coastal Carolina,16,64
2015,Davidson,10,64
2015,Dayton,11,32
2015,Duke,1,1
2015,Eastern Washington,13,64
2015,Georgetown,4,32
2015,Georgia,10,64
2015,Georgia St.,14,32
2015,Gonzaga,2,8
2015,Hampton,16,64
2015,Harvard,13,64
2015,Indiana,10,64
2015,Iowa,7,32
2015,Iowa St.,3,64
2015,Kansas,2,32
2015,Kentucky,1,4
2015,Lafayette,16,64
2015,Louisville,4,8
2015,LSU,9,64
2015,Manhattan,16,68
2015,Maryland,4,32
2015,Michigan St.,7,4
2015,Mississippi,11,64
2015,New Mexico St.,15,64
2015,North Carolina,4,16
2015,North Carolina St.,8,16
2015,North Dakota St.,15,64
2015,North Florida,16,68
2015,Northeastern,14,64
2015,Northern Iowa,5,32
2015,Notre Dame,3,8
2015,Ohio St.,10,32
2015,Oklahoma,3,16
2015,Oklahoma St.,9,64
2015,Oregon,8,32
2015,Providence,6,64
2015,Purdue,9,64
2015,Robert Morris,16,64
2015,San Diego St.,8,32
2015,SMU,6,64
2015,St. John's,9,64
2015,Stephen F. Austin,12,64
2015,Texas,11,64
2015,Texas Southern,15,64
2015,UAB,14,32
2015,UC Irvine,13,64
2015,UCLA,11,16
2015,Utah,5,16
2015,Valparaiso,13,64
2015,VCU,7,64
2015,Villanova,1,32
2015,Virginia,2,32
2015,West Virginia,5,16
2015,Wichita St.,7,16
2015,Wisconsin,1,2
2015,Wofford,12,64
2015,Wyoming,12,64
2015,Xavier,6,16
2014,Albany,16,64
2014,American,15,64
2014,Arizona,1,8
2014,Arizona St.,10,64
2014,Baylor,6,16
2014,BYU,10,64
2014,Cal Poly,16,64
2014,Cincinnati,5,64
2014,Coastal Carolina,16,64
2014,Colorado,8,64
2014,Connecticut,7,1
2014,Creighton,3,32
2014,Dayton,11,8
2014,Delaware,13,64
2014,Duke,3,64
2014,Eastern Kentucky,15,64
2014,Florida,1,4
2014,George Washington,9,64
2014,Gonzaga,8,32
2014,Harvard,12,32
2014,Iowa,11,68
2014,Iowa St.,3,16
2014,Kansas,2,32
2014,Kansas St.,9,64
2014,Kentucky,8,2
2014,Louisiana Lafayette,14,64
2014,Louisville,4,16
2014,Manhattan,13,64
2014,Massachusetts,6,64
2014,Memphis,8,32
2014,Mercer,14,32
2014,Michigan,2,8
2014,Michigan St.,4,8
2014,Milwaukee,15,64
2014,Mount St. Mary's,16,68
2014,Nebraska,11,64
2014,New Mexico,7,64
2014,New Mexico St.,13,64
2014,North Carolina,6,32
2014,North Carolina Central,14,64
2014,North Carolina St.,12,64
2014,North Dakota St.,12,32
2014,Ohio St.,6,64
2014,Oklahoma,5,64
2014,Oklahoma St.,9,64
2014,Oregon,7,32
2014,Pittsburgh,9,32
2014,Providence,11,64
2014,Saint Joseph's,10,64
2014,Saint Louis,5,32
2014,San Diego St.,4,16
2014,Stanford,10,16
2014,Stephen F. Austin,12,32
2014,Syracuse,3,32
2014,Tennessee,11,16
2014,Texas,7,32
2014,Texas Southern,16,68
2014,Tulsa,13,64
2014,UCLA,4,16
2014,VCU,5,64
2014,Villanova,2,32
2014,Virginia,1,16
2014,Weber St.,16,64
2014,Western Michigan,14,64
2014,Wichita St.,1,32
2014,Wisconsin,2,4
2014,Wofford,15,64
2014,Xavier,12,68
2013,Akron,12,64
2013,Albany,15,64
2013,Arizona,6,16
2013,Belmont,11,64
2013,Boise St.,13,68
2013,Bucknell,11,64
2013,Butler,6,32
2013,California,12,32
2013,Cincinnati,10,64
2013,Colorado,10,64
2013,Colorado St.,8,32
2013,Creighton,7,32
2013,Davidson,14,64
2013,Duke,2,8
2013,Florida,3,8
2013,Florida Gulf Coast,15,16
2013,Georgetown,2,64
2013,Gonzaga,1,32
2013,Harvard,14,32
2013,Illinois,7,32
2013,Indiana,1,16
2013,Iona,15,64
2013,Iowa St.,10,32
2013,James Madison,16,64
2013,Kansas,1,16
2013,Kansas St.,4,64
2013,La Salle,13,16
2013,Liberty,16,68
2013,LIU Brooklyn,16,68
2013,Louisville,1,1
2013,Marquette,3,8
2013,Memphis,6,32
2013,Miami FL,2,16
2013,Michigan,4,2
2013,Michigan St.,3,16
2013,Middle Tennessee,11,68
2013,Minnesota,11,32
2013,Mississippi,12,32
2013,Missouri,9,64
2013,Montana,13,64
2013,New Mexico,3,64
2013,New Mexico St.,13,64
2013,North Carolina,8,32
2013,North Carolina A&T,16,64
2013,North Carolina St.,8,64
2013,Northwestern St.,14,64
2013,Notre Dame,7,64
2013,Ohio St.,2,8
2013,Oklahoma,10,64
2013,Oklahoma St.,5,64
2013,Oregon,12,16
2013,Pacific,15,64
2013,Pittsburgh,8,64
2013,Saint Louis,4,32
2013,Saint Mary's,11,64
2013,San Diego St.,7,32
2013,South Dakota St.,13,64
2013,Southern,16,64
2013,Syracuse,4,4
2013,Temple,9,32
2013,UCLA,6,64
2013,UNLV,5,64
2013,Valparaiso,14,64
2013,VCU,5,32
2013,Villanova,9,64
2013,Western Kentucky,16,64
2013,Wichita St.,9,4
2013,Wisconsin,5,64
2012,Alabama,9,64
2012,Baylor,3,8
2012,Belmont,14,64
2012,BYU,14,64
2012,California,12,68
2012,Cincinnati,6,16
2012,Colorado,11,32
2012,Colorado St.,11,64
2012,Connecticut,9,64
2012,Creighton,8,32
2012,Davidson,13,64
2012,Detroit,15,64
2012,Duke,2,64
2012,Florida,7,8
2012,Florida St.,3,32
2012,Georgetown,3,32
2012,Gonzaga,7,32
2012,Harvard,12,64
2012,Indiana,4,16
2012,Iona,14,68
2012,Iowa St.,8,32
2012,Kansas,2,2
2012,Kansas St.,8,32
2012,Kentucky,1,1
2012,Lamar,16,68
2012,Lehigh,15,32
2012,LIU Brooklyn,16,64
2012,Long Beach St.,12,64
2012,Louisville,4,4
2012,Loyola MD,15,64
2012,Marquette,3,16
2012,Memphis,8,64
2012,Michigan,4,64
2012,Michigan St.,1,16
2012,Mississippi Valley St.,16,68
2012,Missouri,2,64
2012,Montana,13,64
2012,Murray St.,6,32
2012,New Mexico,5,32
2012,New Mexico St.,13,64
2012,Norfolk St.,15,32
2012,North Carolina,1,8
2012,North Carolina St.,11,16
2012,Notre Dame,7,64
2012,Ohio,13,16
2012,Ohio St.,2,4
2012,Purdue,10,32
2012,Saint Louis,9,32
2012,Saint Mary's,7,64
2012,San Diego St.,6,64
2012,South Dakota St.,14,64
2012,South Florida,12,32
2012,Southern Miss,9,64
2012,St. Bonaventure,14,64
2012,Syracuse,1,8
2012,Temple,5,64
2012,Texas,11,64
2012,UNC Asheville,16,64
2012,UNLV,6,64
2012,Vanderbilt,5,32
2012,VCU,12,32
2012,Vermont,16,64
2012,Virginia,10,64
2012,West Virginia,10,64
2012,Western Kentucky,16,64
2012,Wichita St.,5,64
2012,Wisconsin,4,16
2012,Xavier,10,16
2011,Akron,15,64
2011,Alabama St.,16,68
2011,Arizona,5,8
2011,Belmont,13,64
2011,Boston University,16,64
2011,Bucknell,14,64
2011,Butler,8,2
2011,BYU,3,16
2011,Cincinnati,6,32
2011,Clemson,12,64
2011,Connecticut,3,1
2011,Duke,1,16
2011,Florida,2,8
2011,Florida St.,10,16
2011,George Mason,8,32
2011,Georgetown,6,64
2011,Georgia,10,64
2011,Gonzaga,11,32
2011,Hampton,16,64
2011,Illinois,9,32
2011,Indiana St.,14,64
2011,Kansas,1,8
2011,Kansas St.,5,32
2011,Kentucky,4,4
2011,Little Rock,16,68
2011,LIU Brooklyn,15,64
2011,Louisville,4,64
2011,Marquette,11,16
2011,Memphis,12,64
2011,Michigan,8,32
2011,Michigan St.,10,64
2011,Missouri,11,64
2011,Morehead St.,13,32
2011,North Carolina,2,8
2011,Northern Colorado,15,64
2011,Notre Dame,2,32
2011,Oakland,13,64
2011,Ohio St.,1,16
2011,Old Dominion,9,64
2011,Penn St.,10,64
2011,Pittsburgh,1,32
2011,Princeton,13,64
2011,Purdue,3,32
2011,Richmond,12,16
2011,Saint Peter's,14,64
2011,San Diego St.,2,16
2011,St. John's,6,64
2011,Syracuse,3,32
2011,Temple,7,32
2011,Tennessee,9,64
2011,Texas,4,32
2011,Texas A&M,7,64
2011,UAB,12,68
2011,UC Santa Barbara,15,64
2011,UCLA,7,32
2011,UNC Asheville,16,64
2011,UNLV,8,64
2011,USC,11,68
2011,Utah St.,12,64
2011,UTSA,16,64
2011,Vanderbilt,5,64
2011,VCU,11,4
2011,Villanova,9,64
2011,Washington,7,32
2011,West Virginia,5,32
2011,Wisconsin,4,16
2011,Wofford,14,64
2011,Xavier,6,64
2010,Arkansas Pine Bluff,16,64
2010,Baylor,3,8
2010,Butler,5,2
2010,BYU,7,32
2010,California,8,32
2010,Clemson,7,64
2010,Cornell,12,16
2010,Duke,1,1
2010,East Tennessee St.,16,64
2010,Florida,10,64
2010,Florida St.,9,64
2010,Georgetown,3,64
2010,Georgia Tech,10,32
2010,Gonzaga,8,32
2010,Houston,13,64
2010,Kansas,1,32
2010,Kansas St.,2,8
2010,Kentucky,1,8
2010,Lehigh,16,64
2010,Louisville,9,64
2010,Marquette,6,64
2010,Maryland,4,32
2010,Michigan St.,5,4
2010,Minnesota,11,64
2010,Missouri,10,32
2010,Montana,14,64
2010,Morgan St.,15,64
2010,Murray St.,13,32
2010,New Mexico,3,32
2010,New Mexico St.,12,64
2010,North Texas,15,64
2010,Northern Iowa,9,16
2010,Notre Dame,6,64
2010,Oakland,14,64
2010,Ohio,14,32
2010,Ohio St.,2,16
2010,Oklahoma St.,7,64
2010,Old Dominion,11,32
2010,Pittsburgh,3,32
2010,Purdue,4,16
2010,Richmond,7,64
2010,Robert Morris,15,64
2010,Saint Mary's,10,16
2010,Sam Houston St.,14,64
2010,San Diego St.,11,64
2010,Siena,13,64
2010,Syracuse,1,16
2010,Temple,5,64
2010,Tennessee,6,8
2010,Texas,8,64
2010,Texas A&M,5,32
2010,UC Santa Barbara,15,64
2010,UNLV,8,64
2010,Utah St.,12,64
2010,UTEP,12,64
2010,Vanderbilt,4,64
2010,Vermont,16,64
2010,Villanova,2,32
2010,Wake Forest,9,32
2010,Washington,11,16
2010,West Virginia,2,4
2010,Winthrop,16,68
2010,Wisconsin,4,32
2010,Wofford,13,64
2010,Xavier,6,16
2009,Akron,13,64
2009,Alabama St.,16,68
2009,American,14,64
2009,Arizona,12,16
2009,Arizona St.,6,32
2009,Binghamton,15,64
2009,Boston College,7,64
2009,Butler,9,64
2009,BYU,8,64
2009,Cal St. Northridge,15,64
2009,California,7,64
2009,Chattanooga,16,64
2009,Clemson,7,64
2009,Cleveland St.,13,32
2009,Connecticut,1,4
2009,Cornell,14,64
2009,Dayton,11,32
2009,Duke,2,16
2009,East Tennessee St.,16,64
2009,Florida St.,5,64
2009,Gonzaga,4,16
2009,Illinois,5,64
2009,Kansas,3,16
2009,Louisville,1,8
2009,LSU,8,32
2009,Marquette,6,32
2009,Maryland,10,32
2009,Memphis,2,16
2009,Michigan,10,32
2009,Michigan St.,2,2
2009,Minnesota,10,64
2009,Mississippi St.,13,64
2009,Missouri,3,8
2009,Morehead St.,16,64
2009,Morgan St.,15,64
2009,North Carolina,1,1
2009,North Dakota St.,14,64
2009,Northern Iowa,12,64
2009,Ohio St.,8,64
2009,Oklahoma,2,8
2009,Oklahoma St.,8,32
2009,Pittsburgh,1,8
2009,Portland St.,13,64
2009,Purdue,5,16
2009,Radford,16,64
2009,Robert Morris,15,64
2009,Siena,9,32
2009,Stephen F. Austin,14,64
2009,Syracuse,3,16
2009,Temple,11,64
2009,Tennessee,9,64
2009,Texas,7,32
2009,Texas A&M,9,32
2009,UCLA,6,32
2009,USC,10,32
2009,Utah,5,64
2009,Utah St.,11,64
2009,VCU,11,64
2009,Villanova,3,4
2009,Wake Forest,4,64
2009,Washington,4,32
2009,West Virginia,6,64
2009,Western Kentucky,12,32
2009,Wisconsin,12,32
2009,Xavier,4,16
2008,American,15,64
2008,Arizona,10,64
2008,Arkansas,9,32
2008,Austin Peay,15,64
2008,Baylor,11,64
2008,Belmont,15,64
2008,Boise St.,14,64
2008,Butler,7,32
2008,BYU,8,64
2008,Cal St. Fullerton,14,64
2008,Clemson,5,64
2008,Connecticut,4,64
2008,Coppin St.,16,68
2008,Cornell,14,64
2008,Davidson,10,8
2008,Drake,5,64
2008,Duke,2,32
2008,George Mason,12,64
2008,Georgetown,2,32
2008,Georgia,14,64
2008,Gonzaga,7,64
2008,Indiana,8,64
2008,Kansas,1,1
2008,Kansas St.,11,32
2008,Kent St.,9,64
2008,Kentucky,11,64
2008,Louisville,3,8
2008,Marquette,6,32
2008,Memphis,1,2
2008,Miami FL,7,32
2008,Michigan St.,5,16
2008,Mississippi St.,8,32
2008,Mississippi Valley St.,16,64
2008,Mount St. Mary's,16,64
2008,North Carolina,1,4
2008,Notre Dame,5,32
2008,Oklahoma,6,32
2008,Oral Roberts,13,64
2008,Oregon,9,64
2008,Pittsburgh,4,32
2008,Portland St.,16,64
2008,Purdue,6,32
2008,Saint Joseph's,11,64
2008,Saint Mary's,10,64
2008,San Diego,13,32
2008,Siena,13,32
2008,South Alabama,10,64
2008,Stanford,3,16
2008,Temple,12,64
2008,Tennessee,2,16
2008,Texas,2,8
2008,Texas A&M,9,32
2008,UCLA,1,4
2008,UMBC,15,64
2008,UNLV,8,32
2008,USC,6,64
2008,UT Arlington,16,64
2008,Vanderbilt,4,64
2008,Villanova,12,16
2008,Washington St.,4,16
2008,West Virginia,7,16
2008,Western Kentucky,12,16
2008,Winthrop,13,64
2008,Wisconsin,3,16
2008,Xavier,3,8
